identification ID,cell line,Identified Protein,gene symbol,Accession Number,Molecular Weight,Protein Grouping Ambiguity,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-98,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-7-1,hsa-mir-7-2,hsa-mir-7-3,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-10b,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-18a,hsa-mir-18b,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-20b,hsa-mir-21,hsa-mir-25,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-31,hsa-mir-34a,hsa-mir-34b,hsa-mir-34c,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-122,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-138-1,hsa-mir-138-2,hsa-mir-140,hsa-mir-141,hsa-mir-143,hsa-mir-145,hsa-mir-155,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-205,hsa-mir-206,hsa-mir-214,hsa-mir-221,hsa-mir-222,hsa-mir-363,hsa-mir-429,hsa-mir-451
H-250,HEPG2,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,29,21,7,4,9,5,4,5,,4,3,3,5,6,7,6,3,4,2,3,2,2,14,,3,5,3,4,2,2,5,4,5,6,6,15,,5,6,5,6,7,7,2,6,2,6,7,3,6,9,9,8,8,4,5,4,8,6,7,5,6,8,9,6,6,23,10,3,3,,7
J-195,Jurkat,unnamed protein product [Homo sapiens],HNRNPL,gi|32356,60 kDa,true,8,10,2,2,,,2,,,4,,,,,,,,,2,2,2,2,3,,5,2,,,,3,2,2,,3,,2,,,7,,,3,,,3,,2,2,,,,2,2,,,3,2,6,3,2,3,2,2,2,4,2,2,5,,3,3,4
G-92,LN-229,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,28,30,13,10,7,12,10,12,9,10,12,4,7,4,4,8,3,7,5,8,5,7,15,7,14,6,5,6,9,18,4,4,10,7,8,6,9,3,15,7,5,7,,2,,2,3,,5,,6,6,7,2,6,2,8,8,5,7,8,5,2,8,11,4,7,11,5,2,2,3
B-297,MCF7,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,5,17,,,,,,,2,3,,,,,,,,,,,,2,7,2,4,,2,7,3,3,3,5,3,2,,5,,3,5,,2,2,5,4,2,3,,,,,3,,,,,,,2,,,,2,3,,,,,3,3,3,,
T-128,NTERA-2,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,10,8,,2,2,,2,3,2,,,2,2,3,,3,4,,,2,3,,,4,,4,,8,9,3,4,3,8,5,5,5,3,5,9,5,5,5,2,2,3,,2,2,2,,3,4,3,2,,2,4,8,8,,4,,,2,3,2,5,2,3,,,2
R-122,Raji,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,12,14,4,2,4,3,2,3,2,4,4,,,,,,,2,3,3,2,5,3,,7,,2,2,2,6,2,,2,2,4,,,,3,,,4,,,,,2,,,,3,4,,,,,,6,4,,,,3,,,,,7,2,,,5
N-77,SK-N-MC,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,28,27,7,6,8,10,13,11,5,10,6,6,5,9,9,3,8,5,,,3,2,4,,4,2,6,7,2,5,4,,,3,,9,8,6,3,9,2,9,2,2,,7,5,4,7,4,9,7,13,5,4,5,11,11,9,8,9,6,7,4,2,6,6,8,3,4,6,7
M-238,SK-MEL-28,unnamed protein product [Homo sapiens],HNRNPL,gi|32356,60 kDa,true,13,25,,,,2,,,2,4,4,,,7,2,3,2,6,3,3,4,,13,5,3,2,4,4,,4,,,3,,2,22,,,,2,,7,2,,,,2,,3,4,,5,3,3,2,2,3,,2,2,5,3,,5,3,,20,5,2,2,,3
"L-488,2",A549,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,,,7,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-308,2",DLD-1,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,19,,35,,7,,,11,3,,,23,4,8,,,,11,,9,,,4,,5,,,,9,,,,,,,15,,11,22,14,,5,5,3,,,20,,,,,,6,,,21,8,26,21,,3,10,5,2,,,,6,,,3,
"P-808,1",DU145,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,14,,15,,,,,10,16,8,,23,6,,,,,3,,,,,10,,,,,,,,,,,,,5,,11,,,,,4,,,,14,,,,,,8,,,20,,,33,,,7,,3,,,,,,,2,
"H-866,2",HEPG2,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,9,,11,,10,,,20,7,,,13,5,,4,,,,,7,,,,,,,,,,,,,,,,,,6,4,,,,,2,,,12,,,,,,12,,,,3,14,16,,,,4,3,,,,5,,,,
"J-350,1",Jurkat,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,11,2,19,,,,,,10,2,,12,,,,,,,,,,,3,,,,,,,,,,,,,,,2,4,,,,,,,,5,,,,,2,6,,,,,,13,,,,,,,,,,,,,
"G-1136,3",LN-229,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,11,,6,,,,,,6,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
"B-633,1",MCF7,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,8,,10,,,,,8,5,5,,13,,,,,,,,6,,,6,,,,,,,,,,,,,,,6,,,,,,,,,8,,,,,,6,,,,,12,16,,,7,5,,,,,6,,,,
"T-250,2",NTERA-2,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,8,,13,,,,,,,,,11,2,,,,7,3,,10,,,,,,,,,,,,,,,,6,3,11,15,,8,,,,,,11,,,,,5,13,,,5,2,14,37,,,4,2,5,,,,10,,,,
"R-433,2",Raji,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,10,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
"N-445,2",SK-N-MC,spermatid perinuclear RNA-binding protein isoform 2 [Homo sapiens],STRBP,gi|283806705,72 kDa,true,25,,26,,,,4,9,10,,,19,3,5,,,,2,,,,,12,,,,,,,,,,,,,2,,6,,,,,,,,,,,,3,,,14,,,,9,,16,6,,,,,,,6,,,,,
L-426,A549,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,2,,3,,,2,,2,2,,,8,,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-624,DLD-1,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,2,2,6,,,,,,4,,,11,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
P-979,DU145,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,,,5,,,,,,8,,,3,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
H-663,HEPG2,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,12,,9,,,,,2,15,4,,20,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,4,,,,,,,,2,,,,,,,,
J-155,Jurkat,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,11,,20,9,9,7,3,,20,5,,17,,,,,,17,,,,,,,,,,,,,,,,13,3,,,,,2,2,3,,,,3,,,,,5,23,3,,,4,,3,,,,,,,,,,,,15,,14
G-300,LN-229,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,9,2,15,9,7,4,4,3,12,5,5,5,,,,,,16,,,,,,,,,,,,,,,,,,,,,,8,,2,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,5,,9
B-437,MCF7,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,2,,9,,,,,,15,,3,11,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,,,,,,,,,,,,,,,,,,,,
T-258,NTERA-2,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,6,,8,,8,,,,23,,,3,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,18,,,,,,,,,,,,,,,,,,2,,2
R-255,Raji,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,4,,12,,5,,,,11,,,2,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
N-423,SK-N-MC,protein syndesmos isoform 1 [Homo sapiens],NUDT16L1,gi|14150147,23 kDa,,4,,7,2,8,,,,15,,,5,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,,,,,,,,,,,,,,,,,,,
L-431,A549,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,4,,18,,,2,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-197,DLD-1,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,10,8,67,12,,51,9,,4,18,7,,,,,,,24,2,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,31,2,,,,,,,
P-654,DU145,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,7,,34,2,,7,,,6,3,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,12,,,,,,,,
"H-1077,1",HEPG2,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,3,,13,,,2,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
J-390,Jurkat,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,4,,11,,,6,9,,6,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,2
G-466,LN-229,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,8,,15,,,9,8,,3,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
B-414,MCF7,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,6,,18,,5,5,2,,9,4,2,2,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
T-574,NTERA-2,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,5,,8,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
R-319,Raji,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,3,,6,,,5,2,,5,2,,,,,,,,8,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-516,SK-MEL-28,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,,3,34,,,18,,,,4,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,
N-357,SK-N-MC,G-rich sequence factor 1 isoform 1 [Homo sapiens],GRSF1,gi|149193321,53 kDa,,12,,20,,,5,12,,8,,,,,13,,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-240,A549,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,11,,15,13,7,13,,9,12,8,4,7,,,,,,12,,,,,,,,,,,8,7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-167,DLD-1,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,15,7,18,3,7,23,11,11,13,15,9,18,6,4,3,,5,19,10,3,5,10,8,7,4,6,4,3,3,5,5,3,14,3,6,3,3,4,11,16,11,8,5,4,4,6,4,6,6,3,2,5,6,4,4,16,13,10,4,2,5,7,10,15,4,3,3,9,4,6,6,4
P-140,DU145,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,26,6,35,17,11,20,5,5,40,21,10,27,17,10,8,6,3,51,15,6,9,5,9,7,6,5,7,3,6,9,7,10,18,20,18,8,10,8,14,13,19,15,10,7,7,10,8,9,5,5,10,49,24,4,8,15,7,23,9,6,10,8,10,18,6,7,7,12,11,11,9,19
H-231,HEPG2,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,26,12,26,13,15,24,11,23,21,18,10,21,13,13,8,9,9,38,5,4,6,5,10,7,5,8,6,11,10,6,6,4,9,8,10,5,,9,11,5,11,11,7,7,5,9,16,14,12,11,10,21,10,10,13,17,8,11,10,10,8,9,14,13,6,11,10,5,14,,2,11
J-43,Jurkat,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,22,8,58,20,14,18,12,9,28,25,14,29,5,2,,3,2,60,14,8,6,,3,3,5,3,,,,5,3,,11,28,9,2,3,,12,16,14,13,3,7,8,10,9,5,5,3,15,53,23,6,,12,8,7,3,4,5,4,9,8,8,3,5,8,13,20,9,27
G-66,LN-229,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,26,18,56,33,26,27,20,19,34,20,29,16,18,5,8,10,4,57,23,11,11,5,18,4,6,11,2,5,10,7,4,3,11,25,11,5,12,3,8,29,11,13,3,4,7,5,8,5,17,2,18,47,23,11,3,13,9,7,6,5,8,7,10,11,7,4,7,10,9,19,12,21
B-155,MCF7,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,12,6,20,10,11,11,7,5,16,11,11,11,4,3,3,5,2,10,7,2,5,4,8,3,6,6,4,3,4,5,2,4,10,7,7,6,5,,7,3,12,6,5,5,10,7,9,8,6,5,9,21,9,5,3,18,3,11,7,4,4,5,7,9,9,4,3,6,4,6,7,8
T-357,NTERA-2,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,9,,19,9,14,3,,,23,5,,7,3,,,,3,19,,,,,,3,,,,3,7,,,,,6,,,,,,2,8,9,,,,,,,4,,,17,12,3,,6,,,4,,4,,2,4,,,2,2,2,5,,4
R-72,Raji,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,22,10,38,19,21,14,5,9,28,16,13,16,,,,,,50,11,7,,,,5,,,,,,,,,4,21,8,,,,,,5,,,,,,,,,,,25,,,,12,,,,,,,,,,,,,,9,,11
M-301,SK-MEL-28,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,9,8,12,4,6,11,7,8,7,13,6,7,5,5,,5,,12,,,7,,9,9,,6,9,,,5,,,4,,,,,,,4,,,,,4,,,3,,,4,,,,5,4,4,,,,6,,8,8,7,6,4,5,,,,
N-97,SK-N-MC,HNRPF protein [Homo sapiens],HNRNPF,gi|16876910,46 kDa,true,24,11,37,20,15,16,8,9,16,6,6,15,7,8,5,6,5,34,5,5,4,4,5,,4,3,3,4,3,4,2,3,10,12,5,2,4,,5,9,9,7,4,6,8,7,5,3,4,16,3,26,23,12,7,17,12,12,5,6,8,5,12,8,4,4,6,6,3,11,7,4
"L-43,1",A549,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,15,10,18,13,6,26,9,17,15,10,6,22,,,3,3,,19,8,7,7,4,7,3,6,10,7,11,11,10,3,3,10,5,8,7,8,8,11,3,10,16,10,3,,2,,,2,,4,14,3,3,3,6,2,6,4,2,3,,2,,,7,7,,3,2,,2
"C-36,1",DLD-1,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,30,19,30,9,16,46,17,22,27,28,20,45,11,7,9,2,10,45,22,8,14,16,18,9,11,9,7,7,12,8,7,3,12,4,12,10,9,6,25,19,18,12,11,8,10,9,16,10,13,9,6,15,12,5,7,32,17,24,12,5,10,12,12,20,10,5,3,11,12,12,10,11
P-34,DU145,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,33,20,68,18,23,33,11,15,69,29,15,77,17,15,14,10,7,133,22,17,14,12,22,16,11,12,8,6,13,13,15,14,22,25,18,15,17,15,24,19,27,22,15,13,13,17,17,17,11,11,23,98,13,7,13,51,15,55,14,11,16,15,13,25,9,8,13,17,21,24,17,22
"H-87,1",HEPG2,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,27,12,28,19,17,28,13,33,22,17,11,46,13,15,14,9,12,45,7,9,8,8,13,10,8,9,10,15,13,10,5,4,12,9,10,9,2,11,16,16,15,10,14,9,12,15,14,14,13,11,14,32,10,9,15,26,12,18,16,9,11,12,19,14,11,14,10,13,26,2,2,16
"J-20,1",Jurkat,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,22,7,79,31,30,27,19,14,52,23,15,45,3,,,3,2,104,16,9,6,4,4,4,6,6,4,,2,4,3,3,6,28,10,5,4,3,7,21,11,21,3,4,6,11,14,8,5,5,17,104,17,5,4,32,11,10,6,9,5,4,10,16,6,7,7,12,12,41,19,27
G-12,LN-229,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,63,48,173,78,91,66,42,59,78,43,44,56,33,8,17,18,10,143,48,22,21,16,29,14,12,21,14,10,19,17,8,9,19,33,19,12,17,9,19,51,19,27,10,8,11,11,20,15,21,8,25,116,32,12,8,28,21,24,17,9,14,13,23,21,18,12,17,19,13,41,25,41
"B-78,1",MCF7,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,21,11,26,11,17,17,6,13,26,10,13,40,4,2,2,2,,16,4,3,3,3,8,3,6,6,5,7,8,5,5,4,8,7,10,5,8,5,8,4,13,8,7,6,7,6,12,8,3,5,14,47,8,4,5,24,8,17,8,10,7,8,11,11,10,7,4,11,9,8,12,9
"T-3,1",NTERA-2,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,34,31,128,48,80,24,20,16,114,30,3,39,12,8,5,8,14,93,15,5,6,3,15,10,14,11,12,14,18,11,13,7,12,30,13,9,17,11,15,5,23,24,16,8,7,6,14,8,8,5,15,158,24,7,10,60,14,36,31,8,11,13,8,18,4,5,4,9,9,28,11,19
"R-14,1",Raji,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,46,22,99,40,49,41,20,22,67,30,31,42,,,,,,143,28,12,6,10,18,8,7,8,7,6,6,9,5,5,10,24,12,7,7,4,7,3,11,19,4,5,8,8,9,5,,,18,106,,,,43,,22,9,,,6,6,6,4,,,18,7,19,6,18
"M-75,1",SK-MEL-28,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,14,11,18,9,7,17,11,11,7,13,8,25,7,14,5,8,10,20,13,8,5,2,10,6,7,8,11,10,5,7,5,7,9,6,6,6,3,6,12,10,5,7,5,6,3,5,7,5,8,9,4,10,,4,10,14,10,7,3,11,13,5,9,7,6,12,11,5,5,7,5,4
"N-14,1",SK-N-MC,heterogeneous nuclear ribonucleoprotein H [Homo sapiens],HNRNPH1,gi|5031753,49 kDa,true,48,29,89,45,42,34,15,22,65,27,17,46,10,21,16,11,10,96,19,9,9,10,18,10,10,8,10,13,5,10,11,5,13,31,15,8,12,10,16,24,21,21,11,8,11,13,17,6,7,30,9,107,29,13,14,61,24,46,13,13,14,14,28,15,8,11,13,10,6,15,17,8
L-393,A549,heterogeneous nuclear ribonucleoprotein H2 [Homo sapiens],HNRNPH2,gi|9624998,49 kDa,true,9,,10,,,14,,10,12,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
